id,conversation_id,customer_message,conversation_context,intent,expected_decision,expected_escalation_reason,reference_reply,difficulty,annotation_notes,label_status
1,1455307,IOS 11 is the worst update to date. My phone is useless without WiFi.,,SOFTWARE_UPDATE_OS,AUTO_HANDLE,Standard automated support inquiry resolvable via troubleshooting documentation.,"We’d love to help. To start, please send us a DM with more details on the behavior you’re experiencing. https://t.co/GDrqU22YpT",EASY,Clear diagnostic statement with unambiguous keyword signals.,HUMAN_VERIFIED
2,1920062,I hate this new update that constantly freezes my phone. 🙄,,SOFTWARE_UPDATE_OS,AUTO_HANDLE,Standard automated support inquiry resolvable via troubleshooting documentation.,We'd love to help. Are specific apps unresponsive? Can you DM us the exact version of iOS running? https://t.co/GDrqU22YpT,EASY,Clear diagnostic statement with unambiguous keyword signals.,HUMAN_VERIFIED
3,1516175,#iOS11 #update #iphoneissueswithIOS11 https://t.co/YhBerEXfFU,,SOFTWARE_UPDATE_OS,AUTO_HANDLE,Standard automated support inquiry resolvable via troubleshooting documentation.,We received your DM and will continue there. https://t.co/GDrqU22YpT,HARD,Multi-intent or ambiguous context; requires careful boundary handling.,HUMAN_VERIFIED
4,1704669,any idea how to fix the messaging crash issues among this new update?,,APP_CRASH_PERFORMANCE,AUTO_HANDLE,Standard automated support inquiry resolvable via troubleshooting documentation.,"We want to help! What model of iOS device are you using? Are you getting an error, or does the app crash to the home screen?",EASY,Clear diagnostic statement with unambiguous keyword signals.,HUMAN_VERIFIED
5,2320380,do you guys still have the free app of the week for iOS 11.1,,GENERAL_PRODUCT_INQUIRY,AUTO_HANDLE,Standard automated support inquiry resolvable via troubleshooting documentation.,"That's a great question! There have been some changes made to the new App Store. For some great app suggestions now, you can check out the Game and App of the Day. More info about that here: https://t.co/oWUHlNlygh",EASY,Clear diagnostic statement with unambiguous keyword signals.,HUMAN_VERIFIED
6,1863193,"This 11.0.3 update is still slow, @115858",,SOFTWARE_UPDATE_OS,AUTO_HANDLE,Standard automated support inquiry resolvable via troubleshooting documentation.,"Having your device work great is our goal! DM us your model of device, and the iOS version you first noticed this slowness. https://t.co/GDrqU22YpT",EASY,Clear diagnostic statement with unambiguous keyword signals.,HUMAN_VERIFIED
7,240114,"after iOS 11 and the patch update, this is what my lock screen and notification menu (when I slide down) looks like..explain please.. https://t.co/uFLIR8w8YA",,SOFTWARE_UPDATE_OS,AUTO_HANDLE,Standard automated support inquiry resolvable via troubleshooting documentation.,Let's get your Lock screen back. Have you restarted since updating? Which iOS patch update?,HARD,Multi-intent or ambiguous context; requires careful boundary handling.,HUMAN_VERIFIED
8,2917320,"The 6s is literally unusable after the iOS 11 update. Apps always get stuck and I restart my phone at least 10 times a day. How can you mess up the software so bad, and when will this be fixed? @AppleSupport @115858",,SOFTWARE_UPDATE_OS,AUTO_HANDLE,Standard automated support inquiry resolvable via troubleshooting documentation.,We'd be happy to help. Send us a DM with a few details. https://t.co/GDrqU22YpT,MEDIUM,"Requires entity extraction, typo tolerance, or escalation verification.",HUMAN_VERIFIED
9,587067,"yo chaps and chapets...so I updated my MacBook to the latest version of Sierra the other day...and now the screen capture functionality doesn't work...fix asap please cos its messing with my work flow...thanking  you in advance 👍🏾
#SierraNotWorking #Why?",,SOFTWARE_UPDATE_OS,AUTO_HANDLE,Standard automated support inquiry resolvable via troubleshooting documentation.,"We're here for you! Send us a DM, and we'll take a closer look into this issue together there. https://t.co/GDrqU22YpT",MEDIUM,"Requires entity extraction, typo tolerance, or escalation verification.",HUMAN_VERIFIED
10,2032362,"the latest iOS update is one big bug! My phone has been dodgy since and I’m not the only one, apps won’t work, phone freezes, randomly switches off and now my alarm doesn’t work!! Fix the bugs!! #apple #iphone #iOS11",,SOFTWARE_UPDATE_OS,AUTO_HANDLE,Standard automated support inquiry resolvable via troubleshooting documentation.,"We can help. DM and tell us which iPhone model, and what version of iOS you see under Settings > General > About > Version. https://t.co/GDrqU22YpT",MEDIUM,"Requires entity extraction, typo tolerance, or escalation verification.",HUMAN_VERIFIED
11,619502,"Hey @115858 @AppleSupport we need a lil favour. Safari 11.0.1 & it’s relationship with High Sierra needs to be fixed. Many people are having multiple problems since the High Sierra update, specific sites are not loading. Multiple community posts have not fixed problem. Please help",,SOFTWARE_UPDATE_OS,AUTO_HANDLE,Standard automated support inquiry resolvable via troubleshooting documentation.,"We're happy to help. Send us a DM, and we'll take a closer look at the issues you're experiencing with Safari there. https://t.co/GDrqU22YpT",MEDIUM,"Requires entity extraction, typo tolerance, or escalation verification.",HUMAN_VERIFIED
12,2246925,"when my watch dies, why doesn’t my phone update my step count after it recharges? Instead, I’m left with a discrepancy in step count & a broken step streak :-/",,SOFTWARE_UPDATE_OS,AUTO_HANDLE,Standard automated support inquiry resolvable via troubleshooting documentation.,We'd like to help. Let's take this to DM and we'll explore ways to provide you assistance. https://t.co/GDrqU22YpT,MEDIUM,"Requires entity extraction, typo tolerance, or escalation verification.",HUMAN_VERIFIED
13,582732,What an utter piece of shit is @115858  latest High Sierra update. My computer never felt so slow before,,SOFTWARE_UPDATE_OS,AUTO_HANDLE,Standard automated support inquiry resolvable via troubleshooting documentation.,We're here to help. Let's take this to DM so we can better assist you. https://t.co/GDrqU22YpT,EASY,Clear diagnostic statement with unambiguous keyword signals.,HUMAN_VERIFIED
14,1930362,"after downloading iOS 11 (mandatory) my phone is slow, apps r not working properly + mute phone calls. What to do?",,SOFTWARE_UPDATE_OS,AUTO_HANDLE,Standard automated support inquiry resolvable via troubleshooting documentation.,"That's not the experience we want for you. Are you using iOS 11.0.3? Let us know in DM, and we'll pick back up there. https://t.co/GDrqU22YpT",EASY,Clear diagnostic statement with unambiguous keyword signals.,HUMAN_VERIFIED
15,2279177,It does work now since the update. I appreciate your work on this issue,We certainly understand how frustrating that can be. Are you up to date on iOS 11.1.1? This update was intended to fix that issue. Go ahead and send us a DM. https://t.co/GDrqU22YpT,SOFTWARE_UPDATE_OS,AUTO_HANDLE,Standard automated support inquiry resolvable via troubleshooting documentation.,"We're glad to hear it! Thank you for your patience. If you need anything else, please don't hesitate to reach out. We hope you have a great day.",EASY,Clear diagnostic statement with unambiguous keyword signals.,HUMAN_VERIFIED
16,695915,:( i can’t watch what time is it in my iPhone :( iOS 11.0.2 this is the main screen https://t.co/c1qG3SZOXl,,SOFTWARE_UPDATE_OS,AUTO_HANDLE,Standard automated support inquiry resolvable via troubleshooting documentation.,"We’d like to explore your options. DM us the country in which you’re located, and we’ll go from there. https://t.co/GDrqU22YpT",HARD,Multi-intent or ambiguous context; requires careful boundary handling.,HUMAN_VERIFIED
17,1087083,IOS11.02 has so much lag on the iPhone 6+ that I’m back to my android phone #frustrated - thanks @115858,,SOFTWARE_UPDATE_OS,AUTO_HANDLE,Standard automated support inquiry resolvable via troubleshooting documentation.,"We have released 11.0.3. Make sure you have a backup, then go ahead and get your iPhone updated: https://t.co/80YRnjDFDk",EASY,Clear diagnostic statement with unambiguous keyword signals.,HUMAN_VERIFIED
18,2291591,wanna explain why I just got the 8 plus but I don’t have the new emojis and I can’t update to get them?,,SOFTWARE_UPDATE_OS,AUTO_HANDLE,Standard automated support inquiry resolvable via troubleshooting documentation.,We're glad to help. What happens when you try to update?,EASY,Clear diagnostic statement with unambiguous keyword signals.,HUMAN_VERIFIED
19,1642383,"hate my iPhone 6s now that i’ve updated on IOS 11
so slow and unresponsive feel like throwing it in garbage

 @115858",,SOFTWARE_UPDATE_OS,AUTO_HANDLE,Standard automated support inquiry resolvable via troubleshooting documentation.,"We're here for you! Send us a DM, and we'll take a closer look at your iPhone together. https://t.co/GDrqU22YpT",EASY,Clear diagnostic statement with unambiguous keyword signals.,HUMAN_VERIFIED
20,646854,what a sorry mess #ios1112 is .... a total joke :-| FIXIT IT @115858 ...NOW !!!!!!!!,,SOFTWARE_UPDATE_OS,AUTO_HANDLE,Standard automated support inquiry resolvable via troubleshooting documentation.,We're here to help you out. Send us a DM letting us know where this is happening and if it just started after updating to iOS 11.1.2. Thanks. https://t.co/GDrqU22YpT,EASY,Clear diagnostic statement with unambiguous keyword signals.,HUMAN_VERIFIED
21,1918048,This last apple update literally gave my phone AIDS man wtf 📱 @115858 always does this shit when they’re trying to push new phone sales.,,SOFTWARE_UPDATE_OS,AUTO_HANDLE,Standard automated support inquiry resolvable via troubleshooting documentation.,We've got your back! Let's get together in DM and take a closer look at what's happening with your iPhone and iOS 11. https://t.co/GDrqU22YpT,EASY,Clear diagnostic statement with unambiguous keyword signals.,HUMAN_VERIFIED
22,693946,Hey @AppleSupport why does my Bluetooth keep turning itself on after iOS 11.,,SOFTWARE_UPDATE_OS,AUTO_HANDLE,Standard automated support inquiry resolvable via troubleshooting documentation.,We know how important it is to control your Bluetooth connections. Check out https://t.co/G7BHuQnDS6 and let us know if that's what you're describing.,EASY,Clear diagnostic statement with unambiguous keyword signals.,HUMAN_VERIFIED
23,1202906,"every time I use contactless since the update my phone freezes, why?!?!",,SOFTWARE_UPDATE_OS,AUTO_HANDLE,Standard automated support inquiry resolvable via troubleshooting documentation.,We'd like to help! Send us a DM with the country that you are located in to continue. https://t.co/GDrqU22YpT,EASY,Clear diagnostic statement with unambiguous keyword signals.,HUMAN_VERIFIED
24,1442390,May I know why is this happening after #ios11.1 update? Apple creates new problems in every update! https://t.co/vHFV5pkd5P,,SOFTWARE_UPDATE_OS,AUTO_HANDLE,Standard automated support inquiry resolvable via troubleshooting documentation.,"We want your iPhone working for you; we'll do all we can to help. What app are you using, and does this happen with Wi-Fi, too?",HARD,Multi-intent or ambiguous context; requires careful boundary handling.,HUMAN_VERIFIED
25,1441524,Just did. Should it help with lag time and battery life? Thanks,Thanks for checking each of those! Have you had a chance to update to iOS 11.1? You can check in Settings > General > About.,BATTERY_PERFORMANCE,AUTO_HANDLE,Standard automated support inquiry resolvable via troubleshooting documentation.,"You should see improvement. If not, please let us know. We're here to help.",EASY,Clear diagnostic statement with unambiguous keyword signals.,HUMAN_VERIFIED
26,666255,request: battery percentage inside battery icon on iPhone X please!,,BATTERY_PERFORMANCE,AUTO_HANDLE,Standard automated support inquiry resolvable via troubleshooting documentation.,"We love hearing from our customers, that's how we improve our products. We welcome and encourage your feedback and suggestions! Please provide them here:  https://t.co/eTPVYVFyd8",EASY,Clear diagnostic statement with unambiguous keyword signals.,HUMAN_VERIFIED
27,178669,Why after update my phone to ios11 the battery runs away so quick,Keep your favorite notes at the top of the list. Here's how to pin a note in iOS 11.  Learn more about Notes: https://t.co/UxvcESWr6u https://t.co/kjgS3MK8lN,BATTERY_PERFORMANCE,AUTO_HANDLE,Standard automated support inquiry resolvable via troubleshooting documentation.,We want to help you with this issue. Meet us in DM and we'll see what we can do. https://t.co/GDrqU22YpT,EASY,Clear diagnostic statement with unambiguous keyword signals.,HUMAN_VERIFIED
28,2298073,why is my battery percentage🔋 dropping at the same rate as my GPA,,BATTERY_PERFORMANCE,AUTO_HANDLE,Standard automated support inquiry resolvable via troubleshooting documentation.,We're happy to help with any battery issues you're experiencing. Let us know which device you're using and the system version installed via DM to get started. We'll go from there. https://t.co/GDrqU22YpT,EASY,Clear diagnostic statement with unambiguous keyword signals.,HUMAN_VERIFIED
29,1592031,wish I had never updated. My battery gets worse by the day. 😡,,BATTERY_PERFORMANCE,AUTO_HANDLE,Standard automated support inquiry resolvable via troubleshooting documentation.,Great battery life is important. Let's pair up in DM to get a closer look at what's happening. https://t.co/GDrqU22YpT,EASY,Clear diagnostic statement with unambiguous keyword signals.,HUMAN_VERIFIED
30,306089,"battery life is shocking at the minute, the % dropping almost by the minute. Camera using 17% in 24 hrs 0 pics taken. https://t.co/jfkU1Gyymd",,BATTERY_PERFORMANCE,AUTO_HANDLE,Standard automated support inquiry resolvable via troubleshooting documentation.,We want you to have the power you need. Let's connect by DM. What iOS version shows in Settings > General > About? https://t.co/GDrqU22YpT,HARD,Multi-intent or ambiguous context; requires careful boundary handling.,HUMAN_VERIFIED
31,1148820,"How long are we going to need to carry battery packs on backs @AppleSupport? The iPhone 6 battery life used to be bad, now it's disastrous! https://t.co/Q08FEl0YoW",,BATTERY_PERFORMANCE,AUTO_HANDLE,Standard automated support inquiry resolvable via troubleshooting documentation.,We're happy to help with battery life. Which version of iOS do you have? Have you tried: https://t.co/bivpdfBNJ6,HARD,Multi-intent or ambiguous context; requires careful boundary handling.,HUMAN_VERIFIED
32,2270045,"Lost around 3 hours of battery backup on full charge after updating from iOS 10 to iOS 11. (iPhone SE)
When will iOS 11 address the battery issues?
#iOS11 #iPhoneSE",,BATTERY_PERFORMANCE,AUTO_HANDLE,Standard automated support inquiry resolvable via troubleshooting documentation.,How long ago was the last update performed? DM with that and your location and we can dig in deeper. https://t.co/GDrqU22YpT,MEDIUM,"Requires entity extraction, typo tolerance, or escalation verification.",HUMAN_VERIFIED
33,2595547,"So i've just run an @115858 update on my iphone. It was plugged in and was on 90% battery. When it had finished and restarted, battery was 72%! - HOW???",,BATTERY_PERFORMANCE,AUTO_HANDLE,Standard automated support inquiry resolvable via troubleshooting documentation.,We'd be happy to check into your battery issue. Let's gather some information in DM. Are you charging with the official Apple cable and adapter? https://t.co/GDrqU22YpT,HARD,Multi-intent or ambiguous context; requires careful boundary handling.,HUMAN_VERIFIED
34,1900031,"iPhone 9,3 on iOS 11.0.3 loses 15% battery per hour on standby, parts of screen not responding to touch, all buttons unresponsive and had to force reset. Not good enough. Can’t even downgrade to a version that works.",,BATTERY_PERFORMANCE,AUTO_HANDLE,Standard automated support inquiry resolvable via troubleshooting documentation.,We're here to help. Let's take this to DM so we can better assist you. https://t.co/GDrqU22YpT,MEDIUM,"Requires entity extraction, typo tolerance, or escalation verification.",HUMAN_VERIFIED
35,1202908,since I’ve installed iOS 11.0.3 by battery is decreasing rapidly ... care to help?,,BATTERY_PERFORMANCE,AUTO_HANDLE,Standard automated support inquiry resolvable via troubleshooting documentation.,We're here to help. Please DM us with your iPhone model and we'll help you the rest of the way. https://t.co/GDrqU22YpT,EASY,Clear diagnostic statement with unambiguous keyword signals.,HUMAN_VERIFIED
