record_id,intent,customer_message,reference_reply,candidate_reply,relevance,groundedness,helpfulness,safety,overall_score,human_notes,rating_status
96,APP_CRASH_PERFORMANCE,"How about a less than year old 7 - dies at 10%, freezes 15 times a day, skips music when multitasking and occasionally will load an app and then freeze up. This is a joke you’re quite right!",We'd like to look into the issues you're experiencing. Reach out via DM using the link below and let us know what version of iOS you have installed. You can check by tapping Settings > General > About.,We'd like to look into the issues you're experiencing. Reach out via DM using the link below and let us know what version of iOS you have installed. You can check by tapping Settings > General > About.,,,,,,,PENDING_REVIEW
16,SOFTWARE_UPDATE_OS,:( i can’t watch what time is it in my iPhone :( iOS 11.0.2 this is the main screen https://t.co/c1qG3SZOXl,"We’d like to explore your options. DM us the country in which you’re located, and we’ll go from there. https://t.co/GDrqU22YpT","We’d like to explore your options. DM us the country in which you’re located, and we’ll go from there. https://t.co/GDrqU22YpT",,,,,,,PENDING_REVIEW
31,BATTERY_PERFORMANCE,"How long are we going to need to carry battery packs on backs @AppleSupport? The iPhone 6 battery life used to be bad, now it's disastrous! https://t.co/Q08FEl0YoW",We're happy to help with battery life. Which version of iOS do you have? Have you tried: https://t.co/bivpdfBNJ6,We're happy to help with battery life. Which version of iOS do you have? Have you tried: https://t.co/bivpdfBNJ6,,,,,,,PENDING_REVIEW
159,AUDIO_SOUND_ISSUES,why isn’t there any sound while your screen recording on FaceTime fix that 😑,"Let us know via DM which device you are using and which version of iOS 11 is installed, then we can go from there. https://t.co/GDrqU22YpT","Let us know via DM which device you are using and which version of iOS 11 is installed, then we can go from there. https://t.co/GDrqU22YpT",,,,,,,PENDING_REVIEW
129,BILLING_SUBSCRIPTIONS,can I get a refund for #iPhone7Plus ?,"Let us know via DM where the iPhone was purchased and when it was purchased, then we can take a look at this with you from there. https://t.co/GDrqU22YpT","Let us know via DM where the iPhone was purchased and when it was purchased, then we can take a look at this with you from there. https://t.co/GDrqU22YpT",,,,,,,PENDING_REVIEW
116,NETWORK_CONNECTIVITY,I know how to work iPhone been a proud customer since purchased og iPhone. My settings are changing on their own. I wake up WiFi is on. I cut it off 1 hour later it’s back on. I think there’s a glitch in the update.,"We’d like you to take some time to read the article we shared, in iOS 11 we’ve made changes to how Wi-Fi is managed. For example while Wi-Fi is disabled, auto-join for any nearby Wi-Fi networks will also be disabled until you walk or drive to a new location. https://t.co/GDrqU22YpT","We’d like you to take some time to read the article we shared, in iOS 11 we’ve made changes to how Wi-Fi is managed. For example while Wi-Fi is disabled, auto-join for any nearby Wi-Fi networks will also be disabled until you walk or drive to a new location. https://t.co/GDrqU22YpT",,,,,,,PENDING_REVIEW
70,ACCOUNT_ACCESS_SECURITY,how do I change my restrictions passcode,Check out this link for the steps to change your restrictions passcode: https://t.co/eiyAtwvrU1,Check out this link for the steps to change your restrictions passcode: https://t.co/eiyAtwvrU1,,,,,,,PENDING_REVIEW
171,ICLOUD_STORAGE_SYNC,"Ok, WTF @115858 iCloud. I signed up for the 2TB account. My Photos are synced/backed up to the iCloud. I deleted photos from my Mac to gain space, pictures are deleted everywhere including the backup on iCloud. So WTF?","Hey there! We've got a great article for you, specifically the section ""Make space on your device"": https://t.co/DWod5CU80f Join us in DM if you need further assistance, we're here for you. https://t.co/GDrqU22YpT","Hey there! We've got a great article for you, specifically the section ""Make space on your device"": https://t.co/DWod5CU80f Join us in DM if you need further assistance, we're here for you. https://t.co/GDrqU22YpT",,,,,,,PENDING_REVIEW
175,ICLOUD_STORAGE_SYNC,"Please please help @AppleSupport, my iPhone says storage full but wjen i check in settings it doesn't add up. What can I do?,",That's unexpected. We want to know more about this. Let's move over to DM. Tell us your iOS version there. https://t.co/GDrqU22YpT,That's unexpected. We want to know more about this. Let's move over to DM. Tell us your iOS version there. https://t.co/GDrqU22YpT,,,,,,,PENDING_REVIEW
46,BATTERY_PERFORMANCE,Your iOS 11 update made my tablets non mobile.  2 tablets that could hold a charge for hours now don’t last 90 minutes. Fix this!,Thanks for reaching out. We'd like to know more to assist with the battery issues you're experiencing. Send us a DM using the link below and we'll continue. https://t.co/GDrqU22YpT,Thanks for reaching out. We'd like to know more to assist with the battery issues you're experiencing. Send us a DM using the link below and we'll continue. https://t.co/GDrqU22YpT,,,,,,,PENDING_REVIEW
67,ACCOUNT_ACCESS_SECURITY,Can #Apple explain why my Apple ID isn’t showing @AppleSupport,We'll be happy to assist. Can you tell us more about what's going on?,We'll be happy to assist. Can you tell us more about what's going on?,,,,,,,PENDING_REVIEW
183,GENERAL_PRODUCT_INQUIRY,tell me how to fix my pos phone pls & thx,We'd love to help in any way we can. What seems to be going on with your iPhone?,We'd love to help in any way we can. What seems to be going on with your iPhone?,,,,,,,PENDING_REVIEW
166,ICLOUD_STORAGE_SYNC,iTunes won’t show up my iPhone so I can’t sync it? Help! :(,We're here for you! Try the steps here and let us know if you're still having issues: https://t.co/bLcjSdg2pg,We're here for you! Try the steps here and let us know if you're still having issues: https://t.co/bLcjSdg2pg,,,,,,,PENDING_REVIEW
