record_id,intent,customer_message,reference_reply,candidate_reply,relevance,groundedness,helpfulness,safety,overall_score,human_notes,rating_status
96,APP_CRASH_PERFORMANCE,"How about a less than year old 7 - dies at 10%, freezes 15 times a day, skips music when multitasking and occasionally will load an app and then freeze up. This is a joke you’re quite right!",We'd like to look into the issues you're experiencing. Reach out via DM using the link below and let us know what version of iOS you have installed. You can check by tapping Settings > General > About.,We'd like to look into the issues you're experiencing. Reach out via DM using the link below and let us know what version of iOS you have installed. You can check by tapping Settings > General > About.,5,5,4,5,4.75,"Directly addresses the reported performance and freezing issues and asks for the iOS version. Actionable, but provides limited troubleshooting steps.",HUMAN_RATING
16,SOFTWARE_UPDATE_OS,:( i can’t watch what time is it in my iPhone :( iOS 11.0.2 this is the main screen https://t.co/c1qG3SZOXl,"We’d like to explore your options. DM us the country in which you’re located, and we’ll go from there. https://t.co/GDrqU22YpT","We’d like to explore your options. DM us the country in which you’re located, and we’ll go from there. https://t.co/GDrqU22YpT",3,5,2,5,3.75,"The reply does not directly troubleshoot the reported time-display issue. It only asks the customer to DM their country, so it provides limited immediate help, although it is safe and avoids unsupported claims.",HUMAN_RATING
31,BATTERY_PERFORMANCE,"How long are we going to need to carry battery packs on backs @AppleSupport? The iPhone 6 battery life used to be bad, now it's disastrous! https://t.co/Q08FEl0YoW",We're happy to help with battery life. Which version of iOS do you have? Have you tried: https://t.co/bivpdfBNJ6,We're happy to help with battery life. Which version of iOS do you have? Have you tried: https://t.co/bivpdfBNJ6,5,5,4,5,4.75,"Directly addresses the battery-life complaint, asks for the iOS version, and provides a relevant troubleshooting resource. Helpful and safe, though it could provide more specific guidance directly in the reply.",HUMAN_RATING
159,AUDIO_SOUND_ISSUES,why isn’t there any sound while your screen recording on FaceTime fix that 😑,"Let us know via DM which device you are using and which version of iOS 11 is installed, then we can go from there. https://t.co/GDrqU22YpT","Let us know via DM which device you are using and which version of iOS 11 is installed, then we can go from there. https://t.co/GDrqU22YpT",5,5,3,5,4.5,"Directly addresses the FaceTime recording issue and requests the device and iOS version for troubleshooting. Safe and relevant, but provides no immediate troubleshooting steps.",HUMAN_RATING
129,BILLING_SUBSCRIPTIONS,can I get a refund for #iPhone7Plus ?,"Let us know via DM where the iPhone was purchased and when it was purchased, then we can take a look at this with you from there. https://t.co/GDrqU22YpT","Let us know via DM where the iPhone was purchased and when it was purchased, then we can take a look at this with you from there. https://t.co/GDrqU22YpT",5,5,4,5,4.75,"Directly addresses the refund request and asks where and when the iPhone was purchased before assessing the case. Clear and safe, though it does not explain the refund policy or eligibility.",HUMAN_RATING
116,NETWORK_CONNECTIVITY,I know how to work iPhone been a proud customer since purchased og iPhone. My settings are changing on their own. I wake up WiFi is on. I cut it off 1 hour later it’s back on. I think there’s a glitch in the update.,"We’d like you to take some time to read the article we shared, in iOS 11 we’ve made changes to how Wi-Fi is managed. For example while Wi-Fi is disabled, auto-join for any nearby Wi-Fi networks will also be disabled until you walk or drive to a new location. https://t.co/GDrqU22YpT","We’d like you to take some time to read the article we shared, in iOS 11 we’ve made changes to how Wi-Fi is managed. For example while Wi-Fi is disabled, auto-join for any nearby Wi-Fi networks will also be disabled until you walk or drive to a new location. https://t.co/GDrqU22YpT",5,5,4,5,4.75,"Directly addresses the reported Wi-Fi behavior and explains the relevant iOS 11 change. Provides a useful reference, though it could offer more specific troubleshooting steps.",HUMAN_RATING
70,ACCOUNT_ACCESS_SECURITY,how do I change my restrictions passcode,Check out this link for the steps to change your restrictions passcode: https://t.co/eiyAtwvrU1,Check out this link for the steps to change your restrictions passcode: https://t.co/eiyAtwvrU1,5,5,4,5,4.75,"Directly answers the user's question and provides a relevant support link with the steps to change the restrictions passcode. Helpful and safe, though the instructions are not included directly in the reply.",HUMAN_RATING
171,ICLOUD_STORAGE_SYNC,"Ok, WTF @115858 iCloud. I signed up for the 2TB account. My Photos are synced/backed up to the iCloud. I deleted photos from my Mac to gain space, pictures are deleted everywhere including the backup on iCloud. So WTF?","Hey there! We've got a great article for you, specifically the section ""Make space on your device"": https://t.co/DWod5CU80f Join us in DM if you need further assistance, we're here for you. https://t.co/GDrqU22YpT","Hey there! We've got a great article for you, specifically the section ""Make space on your device"": https://t.co/DWod5CU80f Join us in DM if you need further assistance, we're here for you. https://t.co/GDrqU22YpT",5,5,3,5,4.5,"Addresses the iCloud photo-storage concern and provides a relevant support article. Safe and grounded, but it does not directly explain why deleting photos from the Mac also removed them from iCloud.",HUMAN_RATING
175,ICLOUD_STORAGE_SYNC,"Please please help @AppleSupport, my iPhone says storage full but wjen i check in settings it doesn't add up. What can I do?,",That's unexpected. We want to know more about this. Let's move over to DM. Tell us your iOS version there. https://t.co/GDrqU22YpT,That's unexpected. We want to know more about this. Let's move over to DM. Tell us your iOS version there. https://t.co/GDrqU22YpT,5,5,3,5,4.5,"Directly addresses the storage concern and requests the iOS version for further investigation. Safe and relevant, but provides no immediate troubleshooting steps.",HUMAN_RATING
46,BATTERY_PERFORMANCE,Your iOS 11 update made my tablets non mobile.  2 tablets that could hold a charge for hours now don’t last 90 minutes. Fix this!,Thanks for reaching out. We'd like to know more to assist with the battery issues you're experiencing. Send us a DM using the link below and we'll continue. https://t.co/GDrqU22YpT,Thanks for reaching out. We'd like to know more to assist with the battery issues you're experiencing. Send us a DM using the link below and we'll continue. https://t.co/GDrqU22YpT,5,5,3,5,4.5,"Directly addresses the battery-life issue and offers further assistance through DM. Safe and grounded, but provides no immediate troubleshooting steps or explanation of the battery problem.",HUMAN_RATING
67,ACCOUNT_ACCESS_SECURITY,Can #Apple explain why my Apple ID isn’t showing @AppleSupport,We'll be happy to assist. Can you tell us more about what's going on?,We'll be happy to assist. Can you tell us more about what's going on?,4,5,3,5,4.25,"Acknowledges the Apple ID concern and asks for more information before troubleshooting. Safe and appropriate, but it does not provide a specific solution or immediate next step.",HUMAN_RATING
183,GENERAL_PRODUCT_INQUIRY,tell me how to fix my pos phone pls & thx,We'd love to help in any way we can. What seems to be going on with your iPhone?,We'd love to help in any way we can. What seems to be going on with your iPhone?,5,5,3,5,4.5,"Directly responds to the request for help with the iPhone and asks what problem is occurring. Safe and appropriate, but it does not provide any specific troubleshooting steps yet.",HUMAN_RATING
166,ICLOUD_STORAGE_SYNC,iTunes won’t show up my iPhone so I can’t sync it? Help! :(,We're here for you! Try the steps here and let us know if you're still having issues: https://t.co/bLcjSdg2pg,We're here for you! Try the steps here and let us know if you're still having issues: https://t.co/bLcjSdg2pg,5,5,4,5,4.75,"Directly addresses the iTunes syncing issue and provides a relevant troubleshooting guide. Actionable and safe, though the actual steps are not included directly in the reply.",HUMAN_RATING
79,ACCOUNT_ACCESS_SECURITY,Why is everything with @115858 so shitty? Can't even schedule a repair for a broken keyboard. Website keeps asking for password :(,We can provide some guidance with your password issues. This page should help: https://t.co/fJnZYmbI9N,We can provide some guidance with your password issues. This page should help: https://t.co/fJnZYmbI9N,4,5,3,5,4.25,"The reply addresses the password issue but does not address the customer's difficulty scheduling a repair for the broken keyboard. It provides a relevant support page, but only partially resolves the overall request.",HUMAN_RATING
187,GENERAL_PRODUCT_INQUIRY,how do I turn access mail fetch setting in the new iOS? No longer an option under the mail settings.,This is now in Settings > Accounts & Passwords > Fetch New Data. Learn more about setting up mail acounts: https://t.co/Sv6TMt6dws,This is now in Settings > Accounts & Passwords > Fetch New Data. Learn more about setting up mail acounts: https://t.co/Sv6TMt6dws,5,5,5,5,5.0,"Directly answers the customer's question by providing the exact settings path for Mail Fetch and a relevant support resource. Clear, actionable, and safe.",HUMAN_RATING
178,ICLOUD_STORAGE_SYNC,Two days ago I complained to @118721 that airplay devices don't sync. No reply. Not good support. Please respond. #crapservice,"We'd like to help, DM us some more details and we'll work with you there. https://t.co/GDrqU22YpT","We'd like to help, DM us some more details and we'll work with you there. https://t.co/GDrqU22YpT",5,5,3,5,4.5,"Directly acknowledges the AirPlay support issue and offers to investigate further through DM. Safe and relevant, but it provides no immediate troubleshooting steps.",HUMAN_RATING
57,HARDWARE_PHYSICAL_DAMAGE,why is the I️ button broken on my phone for the last three days I️ pay so much money for this shit I️ am so triggered explain,We are here to help. DM us your exact iOS version and we can take a look at this. https://t.co/GDrqU22YpT,We are here to help. DM us your exact iOS version and we can take a look at this. https://t.co/GDrqU22YpT,4,5,3,5,4.25,"Acknowledges the reported phone issue and offers further investigation after getting the exact iOS version. Safe and grounded, but it does not provide immediate troubleshooting or address the specific broken button.",HUMAN_RATING
153,AUDIO_SOUND_ISSUES,"bought a new MacBook Air last week and now it won’t turn on at all, tried all the variations for recovery mode and hardbooting. Makes a quiet whirring sound and then stops.","We want you to be able to use your new MacBook Air as expected. Please send us a DM, so we can gather more information about this. https://t.co/GDrqU22YpT","We want you to be able to use your new MacBook Air as expected. Please send us a DM, so we can gather more information about this. https://t.co/GDrqU22YpT",5,5,3,5,4.5,"Directly addresses the MacBook power issue and offers further investigation through DM. Safe and appropriate given that the customer already tried recovery and hard-boot steps, but it provides no immediate additional troubleshooting.",HUMAN_RATING
83,ACCOUNT_ACCESS_SECURITY,There is no way to recover iTunes account's password. How can I change that account for another one??,We'll be happy to help you get back into your account. For help with resetting your password: https://t.co/fJnZYmbI9N,We'll be happy to help you get back into your account. For help with resetting your password: https://t.co/fJnZYmbI9N,5,5,4,5,4.75,"Directly addresses the password recovery issue and provides a relevant support resource. It gives a clear next step, although it does not directly explain how to switch to another account.",HUMAN_RATING
69,ACCOUNT_ACCESS_SECURITY,help i forgot my restrictions passcode,We've got some great steps to help with this issue. You can find these at the bottom of this article: https://t.co/ZOXnGWrbMf,We've got some great steps to help with this issue. You can find these at the bottom of this article: https://t.co/ZOXnGWrbMf,5,5,4,5,4.75,"Directly addresses the forgotten restrictions passcode issue and provides a relevant support article containing the necessary steps. Clear and safe, though the instructions are not included directly in the reply.",HUMAN_RATING
